comp_id,atom_id,count,min,max,avg,std,num_outliers
DA,C1',168,81.313,91.903,84.964,1.260,10
DA,C2,214,150.82200,159.328,154.648,1.212,9
DA,C2',128,36.228,42.934,40.216,1.197,7
DA,C3',103,71.993,80.2,78.297,1.346,12
DA,C4,4,148.049,150.6,149.311,1.325,0
DA,C4',72,84.056,88.707,86.518,1.294,9
DA,C5,2,119.8,119.9,119.850,0.071,0
DA,C5',44,47.77,69.708,66.405,3.515,1
DA,C6,2,157.0,157.4,157.200,0.283,0
DA,C8,287,136.457,143.806,141.272,1.218,4
DA,H1',1402,4.843,6.846,6.076,0.260,49
DA,H2,1171,6.226,8.975,7.648,0.373,34
DA,H2',1358,0.839,3.404,2.582,0.310,63
DA,H2'',1351,0.575,3.784,2.752,0.246,45
DA,H3',1317,4.00,6.040,4.945,0.164,46
DA,H4',946,2.057,5.200,4.317,0.315,60
DA,H5',542,2.72,5.690,4.033,0.275,19
DA,H5'',500,2.631,4.613,3.992,0.289,23
DA,H61,138,5.533,13.40,7.174,1.123,4
DA,H62,135,5.307,12.90,6.895,1.214,5
DA,H8,1396,6.95,9.1,8.122,0.243,67
DA,N1,3,223.4,227,225.200,1.800,0
DA,N3,3,214.5,216.4,215.733,1.069,0
DA,N6,9,77.4,81.7,80.222,1.285,0
DA,N7,2,233.5,234.1,233.800,0.424,0
DA,N9,1,170.2,170.2,170.200,,0
DA,P,380,-5.47,3.761,-1.908,1.807,11
DC,C1',175,77.90,89.586,86.791,1.619,8
DC,C2,2,158.8,159.2,159.000,0.283,0
DC,C2',131,30.62,44.189,39.939,1.802,3
DC,C3',114,70.48,80.554,76.959,1.962,6
DC,C4,2,167.8,168.0,167.900,0.141,0
DC,C4',77,77.80,88.449,85.485,2.078,2
DC,C5,135,86.986,99.9,98.383,1.367,6
DC,C5',44,59.30,68.4,65.325,2.573,0
DC,C6,251,138.897,148.81,142.930,1.230,7
DC,H1',1713,4.850,7.103,5.863,0.294,65
DC,H2',1674,0.099,3.15,2.031,0.270,83
DC,H2'',1648,0.632,3.468,2.357,0.211,85
DC,H3,4,15.305,15.575,15.482,0.123,0
DC,H3',1562,2.770,5.78,4.759,0.170,63
DC,H3+,1,15.294,15.294,15.294,,0
DC,H4',1072,2.084,4.84,4.142,0.257,65
DC,H41,811,4.918,12.08,7.819,0.860,10
DC,H42,785,5.71,10.830,7.367,0.922,12
DC,H5,1697,1.72,8.253,5.571,0.392,67
DC,H5',518,2.564,4.655,3.997,0.307,49
DC,H5'',450,2.335,4.52,3.989,0.292,30
DC,H6,1722,5.60,8.53,7.461,0.270,73
DC,N1,1,150.7,150.7,150.700,,0
DC,N3,1,196.3,196.3,196.300,,0
DC,N4,17,95.1,100.405,98.282,1.291,0
DC,P,590,-9.983,3.623,-2.064,1.991,16
DG,C1',237,74.9,91.068,84.662,1.941,5
DG,C2,2,156.5,156.7,156.600,0.141,0
DG,C2',183,32.445,44.77,39.862,1.995,24
DG,C3',153,67.72,81.407,77.769,2.258,13
DG,C4,2,153.1,154.0,153.550,0.636,0
DG,C4',117,75.274,89.4,86.382,2.014,2
DG,C5,68,116.532,119.735,117.730,0.925,0
DG,C5',83,58.50,70.051,67.035,1.854,1
DG,C6,2,161.0,161.4,161.200,0.283,0
DG,C8,693,116.831,142.928,138.061,3.062,11
DG,H1,2059,5.8817,13.94,11.921,0.860,54
DG,H1',3003,4.1,6.725,5.915,0.290,78
DG,H2',2953,0.63,4.321,2.624,0.269,163
DG,H2'',2919,0.612,5.256,2.684,0.228,95
DG,H21,391,3.95,11.039,8.192,1.523,19
DG,H22,341,3.95,10.10,7.128,1.293,51
DG,H3',2852,3.824,6.085,4.936,0.163,90
DG,H4',2000,2.820,5.200,4.357,0.194,70
DG,H5',1219,2.733,5.553,4.132,0.226,23
DG,H5'',1067,1.937,4.730,4.106,0.241,19
DG,H8,3011,6.07,9.250,7.789,0.268,54
DG,N1,72,142.411,147.7,145.171,1.720,0
DG,N2,5,75.1,76.1,75.520,0.377,0
DG,N7,4,236.9,238.3,237.275,0.685,0
DG,N9,1,168.5,168.5,168.500,,0
DG,P,680,-6.659,3.992,-2.205,1.960,35
DT,C1',258,80.60,92.218,86.561,1.601,10
DT,C2,2,152.9,153.4,153.150,0.354,0
DT,C2',212,34.38,42.958,39.844,1.187,6
DT,C3',192,69.437,80.1,77.226,1.960,1
DT,C4,2,168.5,169.1,168.800,0.424,0
DT,C4',79,78.8,89.313,85.651,1.867,1
DT,C5,12,14.30,113.6,30.920,38.527,0
DT,C5',53,59.4,68.77,66.281,1.918,1
DT,C6,420,135.016,143.6,139.087,1.097,12
DT,C7,78,10.854,91.72300,16.704,15.075,3
DT,H1',1763,4.197,6.875,5.946,0.301,45
DT,H2',1726,0.504,3.301,2.086,0.297,69
DT,H2'',1695,0.78,4.874,2.356,0.268,63
DT,H3,667,2.123,14.499,13.089,1.299,30
DT,H3',1627,3.829,5.889,4.775,0.187,40
DT,H4',1070,2.092,4.980,4.149,0.289,46
DT,H5',673,2.541,4.521,3.976,0.323,31
DT,H5'',620,2.536,4.61,3.967,0.312,20
DT,H6,1787,6.04,9.427,7.360,0.284,25
DT,M7,1584,0.42,2.726,1.582,0.261,25
DT,N1,1,142.9,142.9,142.900,,0
DT,N3,41,158.4,160.84,159.294,0.611,1
DT,P,378,-5.65,1.453,-2.144,1.877,10
